 id x y
549 549 131.9191618 43.11444
550 550 131.9212373 43.1122491
551 551 131.9212697 43.1126586
552 552 131.9213141 43.1131579
553 553 131.9213662 43.1136101
554 554 131.9213019 43.1144107
555 555 131.9213769 43.1159888
556 556 131.9204079 43.1170063
557 557 131.9158682 43.1326174
558 558 131.9159749 43.1326464
559 559 131.9171193 43.1322005
560 560 131.9173639 43.1320996
561 561 131.9182752 43.1320413
562 562 131.9203373 43.1322046
563 563 131.9239043 43.1333042
564 564 131.9242982 43.13335
565 565 131.9253059 43.1337794
566 566 131.9253649 43.1338849
567 567 131.9254896 43.1342108
568 568 131.9258046 43.1347155
569 569 131.9261497 43.1348482
570 570 131.9263778 43.1351113
571 571 131.9264802 43.1356277
572 572 131.9275363 43.1324352
573 573 131.9275349 43.1323024
574 574 131.9278185 43.1303642
575 575 131.9287814 43.1299543
576 576 131.9313206 43.1299299
577 577 131.9174801 43.1300298
578 578 131.9167414 43.1295912
579 579 131.9162226 43.1293231
580 580 131.9165113 43.1375426
581 581 131.911949 43.1490938
582 582 131.9106074 43.1501785
583 583 131.9099548 43.1507224
584 584 131.9100663 43.1513045
585 585 131.9102672 43.1517221
586 586 131.9104665 43.1521312
587 587 131.9112095 43.1536604
588 588 131.9080904 43.151566
589 589 131.9092434 43.1510494
590 590 131.9259452 43.1413544
591 591 131.9252185 43.1419048
592 592 131.9249739 43.1420572
593 593 131.9242994 43.1424425
594 594 131.9228448 43.1429236
595 595 131.9217069 43.1433903
596 596 131.9208895 43.1443198
597 597 131.9205767 43.1447378
598 598 131.9202627 43.1453911
599 599 131.9198275 43.1467159
600 600 131.9191781 43.147195
601 601 131.9180411 43.1474627
602 602 131.9176316 43.1475585
603 603 131.9164308 43.147872
604 604 131.9127063 43.148827
605 605 131.9156185 43.140874
606 606 131.9160584 43.1408986
607 607 131.9166828 43.1410236
608 608 131.9173194 43.1410867
609 609 131.9181412 43.140973
610 610 131.9187614 43.1409077
611 611 131.9189636 43.1409411
612 612 131.921819 43.1417064
613 613 131.9228827 43.1414797
614 614 131.924215 43.1407836
615 615 131.9246081 43.1408335
616 616 131.9252933 43.1410701
617 617 131.9256405 43.1412166
618 618 131.9263188 43.1415583
619 619 131.9265794 43.1417377
620 620 131.9270106 43.142206
621 621 131.9273778 43.1433218
622 622 131.9276573 43.1439155
623 623 131.9284586 43.144677
624 624 131.9285818 43.144801
625 625 131.9302102 43.1465781
626 626 131.9336459 43.1480882
627 627 131.9357965 43.1520648
628 628 131.9356421 43.1527093
629 629 131.9355805 43.1531225
630 630 131.9358345 43.1539327
631 631 131.9359966 43.154181
632 632 131.9362986 43.1546103
633 633 131.9364844 43.1548632
634 634 131.9366921 43.1551666
635 635 131.9385834 43.1543783
636 636 131.9389681 43.1542401
637 637 131.9392971 43.1541478
638 638 131.9407826 43.1541095
639 639 131.9410506 43.1543554
640 640 131.9411364 43.1552281
641 641 131.9409302 43.1562029
642 642 131.9407368 43.1570399
643 643 131.9443826 43.15978
644 644 131.9450372 43.1597565
645 645 131.943891 43.1609878
646 646 131.9419622 43.1627345
647 647 131.9140833 43.1538844
648 648 131.9139355 43.1551322
649 649 131.9150117 43.1550155
650 650 131.9123006 43.1596454
651 651 131.9118403 43.1574321
652 652 131.912594 43.1561174
653 653 131.9234633 43.1567617
654 654 131.9234613 43.157364
655 655 131.9234906 43.1579565
656 656 131.9234895 43.1589125
657 657 131.92315 43.1599277
658 658 131.9225806 43.1604401
659 659 131.9221805 43.1611963
660 660 131.9219212 43.1616824
661 661 131.9135798 43.1637104
662 662 131.9152048 43.1633893
663 663 131.9182475 43.1644199
664 664 131.9185522 43.1644669
665 665 131.92124 43.1646902
666 666 131.9227237 43.1650809
667 667 131.9241558 43.1655053
668 668 131.9252651 43.1658434
669 669 131.926073 43.1660852
670 670 131.927924 43.1664595
671 671 131.9280017 43.166457
672 672 131.9291773 43.1664226
673 673 131.9313999 43.1664014
674 674 131.9401558 43.1640269
675 675 131.9138598 43.164389
676 676 131.9159237 43.1640458
677 677 131.916623 43.1642624
678 678 131.9184372 43.1648645
679 679 131.9188536 43.1649092
680 680 131.9205804 43.1650328
681 681 131.9222004 43.1653321
682 682 131.9273403 43.1667918
683 683 131.9324908 43.1684695
684 684 131.9327168 43.1691642
685 685 131.9328512 43.169264
686 686 131.9321829 43.1689765
687 687 131.932483 43.168679
688 688 131.9291439 43.1684629
689 689 131.9290739 43.166762
690 690 131.9221872 43.1691444
691 691 131.9221951 43.1673672
692 692 131.9221988 43.1659638
693 693 131.8684541 43.1022585
694 694 131.8923445 43.1228175
695 695 131.8950983 43.1239369
696 696 131.8960305 43.1241977
697 697 131.8973572 43.1247142
698 698 131.8990468 43.1254157
699 699 131.9011098 43.1261431
700 700 131.9014474 43.1261424
